Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Drag and Drop,200,1067,703,2842,161.12,0.000%,.16735,0.63,0.04,3828.0
sortable,200,416,285,532,41.70,0.000%,.16739,0.63,0.04,3827.0
TOTAL,400,742,285,2842,346.21,0.000%,.33430,1.25,0.08,3827.5
